No,SEX,NO_OF_DEPENDENT,MARITAL_STATUS,YRS_IN_PRESENT_JOB,AGE,EDUCATION,YEARS_OF_EXPERIENCE,TOTAL_MONTHLY_INCOME,LOAN_AMOUNT,COMPANY_TYPE,LABEL
18067,1,0,1,2,20,1,2,15000.0,52875,2,0
31742,1,0,2,3,31,1,3,32847.0,59102,2,0
31306,1,3,1,5,25,0,5,8700.0,49383,2,0
9384,1,0,1,4,41,0,4,10000.0,55977,4,1
38781,1,2,1,2,34,1,2,20000.0,53939,3,0
13095,1,2,1,18,43,1,18,25000.0,60733,0,1
6375,1,0,2,10,23,0,10,15000.0,51794,0,0
33167,1,3,1,16,45,1,16,15600.0,38895,0,1
11690,1,4,1,5,39,0,5,16000.0,50839,2,0
10351,1,2,1,3,37,1,3,9000.0,58417,4,0
18988,1,0,2,2,20,0,2,8000.0,51748,4,1
20554,1,0,1,20,46,1,20,16509.0,44861,0,0
2989,1,0,1,25,42,0,25,22276.0,50729,0,0
33237,1,1,1,5,33,1,5,28000.0,49205,0,0
35352,1,1,2,5,30,0,5,10000.0,64674,4,0
8628,1,3,2,2,27,1,2,15000.0,53939,4,1
26318,1,0,1,1,26,0,1,8000.0,53083,0,1
22722,1,0,2,9,27,0,0,15000.0,57474,4,1
38948,1,0,2,4,20,0,4,10000.0,43032,4,0
35974,1,3,1,10,37,0,10,53715.0,53939,0,0
33730,1,1,2,1,19,3,1,7000.0,51332,2,0
34114,0,0,1,5,39,0,5,15000.0,49698,0,0
5925,1,0,1,3,24,0,3,15000.0,59102,2,0
40444,1,0,1,2,30,1,2,12000.0,59102,2,0
42396,1,0,1,4,23,1,4,12000.0,54624,2,0
19168,1,2,1,25,43,1,25,22000.0,58297,0,0
12859,1,2,1,13,46,3,13,52500.0,35300,1,0
23942,1,0,1,20,46,1,22,20000.0,54769,4,0
41942,1,0,1,4,30,1,4,15000.0,38348,1,0
19788,1,2,1,4,45,0,4,8000.0,43032,4,0
17372,1,0,2,2,20,0,5,12000.0,47578,1,1
14421,1,3,1,20,34,3,20,12000.0,38008,0,0
10240,1,0,1,5,37,1,5,25000.0,50515,4,0
26285,1,0,1,2,29,0,2,15000.0,64674,2,0
17874,1,0,2,3,24,1,3,15000.0,53939,2,0
7161,1,3,1,10,34,1,10,15983.0,39458,4,0
29628,1,2,1,4,30,3,4,15000.0,51748,2,0
4455,1,1,1,10,45,1,10,32500.0,43010,0,0
40761,1,4,1,4,33,1,4,20000.0,58297,4,0
9645,1,0,1,6,22,3,12,15000.0,51254,2,0
35971,1,0,2,1,27,0,3,12000.0,47578,2,1
3862,1,0,1,10,60,1,45,10000.0,58715,2,0
33540,1,0,2,7,28,0,7,12000.0,57136,4,0
30229,0,0,1,5,29,3,5,15000.0,37453,4,0
4613,1,2,1,2,28,1,2,12500.0,37946,2,0
8305,1,0,1,5,30,1,5,15000.0,53562,2,0
30388,1,0,1,2,28,3,2,11000.0,52815,2,0
39720,1,0,2,2,18,0,2,10000.0,46380,4,0
14339,1,3,1,2,28,1,2,10000.0,50515,2,0
745,1,3,1,10,58,3,10,20000.0,53939,4,1
34582,1,4,2,4,25,1,4,10000.0,49263,1,0
35942,1,0,1,7,49,1,7,20000.0,52815,0,0
22303,0,0,1,5,31,1,5,16000.0,52697,2,0
10287,1,0,2,1,22,1,1,15000.0,61068,2,0
4543,1,2,1,10,33,1,10,18000.0,40480,0,0
36836,1,3,1,5,45,0,5,14000.0,50729,0,1
15718,1,0,2,5,34,1,5,10000.0,55133,1,0
31428,1,0,1,4,47,3,4,15000.0,47910,2,1
2874,1,2,2,3,23,0,6,10000.0,48430,2,1
8976,1,0,1,3,44,1,3,10200.0,49804,2,0
18532,1,0,1,6,28,1,6,15000.0,52468,0,0
24902,1,2,1,21,46,3,21,24000.0,54190,0,0
15968,1,4,1,23,49,0,23,45000.0,39458,0,0
26397,1,0,2,5,20,0,5,18000.0,52468,3,0
20989,0,2,1,7,34,0,7,10000.0,51794,2,0
22589,1,0,1,2,32,0,2,14500.0,36709,4,1
8497,1,0,1,20,47,1,20,15000.0,53772,0,0
30047,1,0,1,1,33,3,1,15000.0,43630,2,0
30477,1,2,1,1,29,0,1,9000.0,43630,2,0
31070,0,0,1,2,30,0,2,11000.0,40852,2,0
7778,1,0,2,2,24,1,2,18000.0,57782,4,0
8368,1,0,1,3,52,1,3,17000.0,52815,2,1
2561,1,2,1,4,37,1,4,22706.0,49804,0,0
15069,1,1,1,7,23,0,7,15000.0,40590,1,1
27781,1,0,1,3,44,1,3,11800.0,38859,0,0
21356,1,3,1,3,41,1,3,15000.0,53778,1,0
6946,0,0,1,8,31,1,0,8000.0,51794,4,0
11574,1,2,1,1,35,1,1,21000.0,52815,2,0
16735,1,0,2,4,27,0,4,12000.0,60809,2,0
41211,1,0,2,2,24,0,2,14000.0,55977,2,0
14914,1,2,2,3,31,3,3,16000.0,47910,2,0
4093,1,2,2,1,21,3,2,9000.0,50515,1,0
10192,1,0,2,5,24,0,5,12000.0,52815,4,0
35666,1,0,1,5,41,3,5,15000.0,48737,2,0
27641,1,0,1,25,44,0,25,26000.0,55133,0,0
23647,1,24,1,11,34,1,11,24000.0,47175,0,0
34715,1,3,1,4,25,1,4,10000.0,36699,1,0
3290,1,0,1,10,48,1,10,20000.0,55064,2,0
2826,1,2,1,2,51,2,2,32000.0,41008,2,0
15113,1,0,2,2,29,1,2,18000.0,44929,1,0
16214,1,0,1,4,38,0,4,16000.0,47290,1,0
31895,1,0,1,6,29,0,6,25700.0,37946,2,0
35493,1,2,1,2,36,1,2,12000.0,38691,4,0
4500,0,2,1,5,34,1,10,10000.0,43032,2,1
9163,1,0,1,5,56,1,5,30000.0,51332,1,0
26496,1,0,2,1,29,3,3,35000.0,44301,1,0
40448,1,0,1,2,27,0,2,15000.0,55977,4,1
4579,1,1,1,7,32,1,7,20000.0,55064,2,0
734,1,3,1,2,24,3,2,10000.0,51794,2,1
31130,1,0,2,1,19,0,1,12000.0,54624,2,0
5189,1,1,2,3,18,0,3,12000.0,50729,2,0
14956,0,2,1,3,35,1,3,15000.0,51794,2,0
33023,1,0,1,1,46,1,1,21000.0,58297,4,0
21127,0,2,0,15,38,0,15,10000.0,51794,1,0
4243,1,3,2,5,31,0,5,15000.0,55133,2,0
41180,1,0,2,2,19,0,2,14000.0,54624,4,0
38740,1,0,2,2,26,0,2,15000.0,48695,2,0
24539,1,0,1,5,39,1,10,18000.0,55133,2,0
26094,1,0,2,2,21,0,4,10000.0,52468,4,0
12774,1,0,1,12,45,0,12,10000.0,55133,2,0
22938,1,0,1,10,27,3,10,13000.0,45107,4,0
20153,1,1,1,10,36,1,10,8000.0,54624,1,0
748,0,0,1,7,24,3,7,10000.0,46692,3,1
39258,1,1,1,4,20,0,4,12000.0,38739,2,0
12954,1,0,1,21,52,1,21,32000.0,43032,0,0
21399,1,1,1,4,31,0,4,15000.0,55494,4,0
36479,1,0,1,5,30,0,5,10000.0,47634,2,0
18695,1,0,2,3,20,0,3,12000.0,50571,4,0
23430,1,0,1,4,29,0,4,20000.0,53939,4,1
32773,1,2,1,10,59,1,10,25000.0,50649,0,0
11343,1,0,2,5,28,0,5,30000.0,50729,4,0
13787,1,0,1,1,21,0,1,9601.0,51794,2,0
35136,0,0,1,2,30,1,2,19500.0,43965,0,0
22881,1,0,1,12,33,3,12,12000.0,43630,4,0
19401,1,1,1,10,32,1,10,10000.0,48239,4,0
7986,1,4,1,27,49,1,27,35000.0,45100,0,0
42144,1,2,1,4,25,1,4,15000.0,59102,2,0
18461,1,0,1,2,38,1,2,12000.0,56867,2,0
34965,1,5,1,6,37,0,6,15000.0,47910,4,0
41779,1,1,1,3,31,1,3,15000.0,51794,2,0
41665,1,0,2,7,22,1,9,12000.0,52815,2,0
42508,1,0,2,4,24,2,4,25000.0,55133,2,0
40153,1,3,1,12,31,0,12,35000.0,54624,0,0
32178,1,2,1,3,27,0,3,17000.0,56967,2,0
13340,1,5,1,29,57,3,29,25651.0,58828,0,0
12560,1,0,1,10,52,3,10,8000.0,53083,1,0
24393,0,1,1,4,25,1,4,15000.0,55133,0,1
6753,1,0,2,4,26,0,4,10000.0,50729,2,0
42577,1,1,1,4,37,1,4,17000.0,54013,2,0
4180,1,0,2,2,25,3,2,9000.0,50729,1,1
40069,1,2,1,5,29,0,10,12000.0,59385,2,0
6527,1,0,2,4,26,0,4,9500.0,47910,2,0
23882,1,2,1,15,48,3,15,25000.0,42370,0,0
29843,1,0,1,1,39,3,1,8000.0,48354,4,0
35863,1,0,2,5,26,1,10,23000.0,55133,1,0
34389,1,0,1,2,28,1,2,28000.0,53939,2,0
1278,1,0,1,13,26,3,13,16000.0,51332,2,0
26051,1,0,1,10,24,0,10,14000.0,52815,3,0
41602,1,0,1,4,36,1,4,18000.0,63305,4,0
2296,1,0,2,15,47,1,30,40000.0,44893,4,1
25960,1,3,1,19,51,0,19,15000.0,51794,4,1
1480,1,0,1,10,24,0,10,12000.0,37453,2,0
32818,1,6,1,2,23,0,2,11000.0,43032,2,0
31935,1,2,2,3,26,1,3,16500.0,50729,2,0
25620,1,2,1,2,27,1,2,80000.0,55133,2,0
28188,1,0,2,2,21,3,2,8000.0,51332,1,1
15207,1,0,1,6,28,1,6,14000.0,52875,1,0
17987,1,0,1,3,32,0,3,12000.0,44978,2,0
9398,1,0,2,2,27,0,2,12000.0,52875,2,0
13152,1,1,1,6,28,3,6,12000.0,53519,2,0
33533,1,0,2,6,22,3,6,12000.0,52468,2,0
24203,1,2,1,5,31,0,5,15000.0,51588,2,1
34367,1,0,2,3,21,1,3,12000.0,43032,2,0
39584,1,3,1,15,47,0,15,12000.0,52623,4,0
2007,1,2,1,6,26,0,6,15000.0,47910,3,0
27487,1,1,1,9,40,1,0,15000.0,39002,0,0
37810,1,2,1,4,38,3,4,15000.0,57136,1,1
36819,1,2,1,4,30,1,4,10000.0,58297,4,0
31049,1,2,1,6,53,1,12,20000.0,39091,2,0
19705,1,1,2,2,19,0,2,9000.0,38272,4,0
6496,1,1,2,2,25,0,2,10000.0,47175,2,0
5377,1,2,1,2,51,1,2,12200.0,50515,2,1
8844,0,0,2,1,24,1,1,10000.0,54624,4,1
42594,1,2,1,5,38,0,5,12000.0,45107,2,0
33338,1,0,2,1,24,1,1,9100.0,43630,2,1
33856,1,1,1,1,22,3,2,15000.0,43630,2,1
2767,1,2,1,2,39,0,2,12000.0,42058,2,0
4178,1,2,1,5,28,3,10,10000.0,54190,1,0
34649,0,0,1,5,39,0,5,15000.0,66702,2,0
6020,1,2,1,4,34,3,4,10000.0,59866,2,0
20516,1,0,1,1,28,1,1,10000.0,55303,4,0
13177,1,1,1,3,26,3,3,18000.0,53958,1,0
35681,1,0,2,6,33,0,8,9000.0,42255,2,0
24928,1,2,1,20,41,3,20,16000.0,40198,4,0
19671,1,1,1,5,26,0,5,12000.0,53562,2,0
2746,1,2,1,18,39,1,18,30000.0,55977,0,0
842,1,0,2,2,26,3,2,15000.0,50571,2,0
33826,1,0,1,3,28,0,3,15000.0,53939,4,1
40971,1,0,1,5,41,1,5,10000.0,51794,2,0
28468,1,0,1,4,41,1,4,22000.0,53881,0,0
8194,1,2,1,37,57,1,37,11900.0,55133,0,0
7104,1,3,1,12,33,1,12,32000.0,67713,0,0
5847,1,2,1,2,41,0,2,12000.0,51107,4,0
27875,1,0,1,6,29,0,6,18000.0,54624,3,0
13529,1,0,1,3,27,0,3,10000.0,59866,1,0
1866,1,0,1,8,49,0,0,15000.0,61017,2,0
29406,1,0,2,2,43,0,2,10000.0,43848,4,0
29349,1,1,1,5,31,3,5,15000.0,52468,2,1
36773,1,0,2,0,26,1,1,13000.0,54624,2,0
38440,1,0,1,6,41,3,12,20000.0,51449,0,0
36126,1,0,2,5,26,0,5,15000.0,59102,2,0
24106,1,2,2,5,22,0,5,10000.0,46613,4,0
11768,0,0,1,10,52,1,20,30000.0,55064,0,0
10013,1,2,2,1,23,1,1,12000.0,52815,4,0
15171,0,0,1,3,28,1,3,10732.0,51332,1,0
41608,0,0,1,2,27,1,3,11000.0,52815,2,1
1536,1,0,1,2,21,0,2,17300.0,48537,0,0
31039,1,1,2,2,25,3,2,16000.0,41061,2,0
5549,1,0,1,8,52,1,10,35000.0,43630,0,0
9743,1,0,1,5,31,0,5,12000.0,55989,2,0
23344,1,0,1,5,26,1,5,10000.0,43032,4,0
31726,1,0,1,8,29,0,8,12000.0,61918,2,0
3707,1,0,1,5,32,3,5,15000.0,50515,0,0
19655,1,1,1,12,35,0,12,18000.0,43311,2,0
1139,1,0,1,1,36,1,1,60000.0,43032,2,0
12892,1,0,2,1,30,1,1,26022.0,53939,0,0
11105,1,2,1,10,37,1,10,32000.0,51332,0,1
32771,1,2,1,20,50,0,20,23000.0,53562,0,0
15731,0,0,1,2,41,0,2,15000.0,44978,0,0
655,1,0,1,29,47,3,29,25000.0,54624,0,0
26130,0,3,2,1,25,1,1,15000.0,55064,4,0
10245,0,0,1,3,36,1,3,15000.0,60809,2,0
22826,1,0,1,5,22,0,10,15000.0,55064,1,0
23013,1,0,2,2,38,1,2,22500.0,53939,2,0
621,0,0,2,2,21,3,2,16000.0,52815,2,0
21222,0,2,1,3,31,1,3,9000.0,52875,2,0
31855,0,0,1,2,38,3,4,15000.0,50515,2,0
16145,1,3,1,10,30,1,10,23000.0,55064,4,0
21645,1,1,2,6,27,1,6,14000.0,54624,2,0
27260,1,0,1,2,49,1,2,20000.0,44858,2,1
33447,1,0,1,9,33,1,0,22000.0,55064,2,0
19734,1,2,1,2,30,1,2,16200.0,55483,2,0
22034,1,0,2,1,21,0,1,10000.0,50755,2,1
26805,0,0,2,14,22,3,14,10000.0,53306,2,0
5809,1,1,1,5,32,3,5,18000.0,55750,2,0
19242,0,0,1,12,46,1,12,15000.0,50515,2,0
23492,1,0,1,2,36,0,2,12000.0,51332,1,0
41723,1,3,1,5,37,1,5,12000.0,61236,2,1
29471,0,2,1,5,32,1,5,10000.0,47910,4,0
10835,1,0,2,4,24,0,8,12000.0,50729,3,0
16723,1,2,1,5,30,1,5,15000.0,60733,1,1
3798,1,0,1,22,44,1,22,22000.0,54624,0,0
37658,1,2,1,6,31,3,6,12000.0,38183,1,0
4168,1,0,1,10,25,3,10,8000.0,51332,1,0
37891,1,2,1,3,42,1,3,12000.0,48430,2,0
38037,1,4,1,25,53,0,25,31882.0,57136,0,0
24467,1,1,1,6,50,1,6,25000.0,45107,0,0
42214,1,2,1,4,37,1,4,15000.0,40480,2,1
3617,1,0,1,5,31,1,5,16000.0,47910,0,0
10968,1,0,2,1,22,0,1,10000.0,55133,2,0
7375,1,0,1,3,36,0,3,8500.0,45107,1,0
12214,1,0,1,1,26,0,2,11500.0,52660,2,0
25133,0,2,1,4,40,0,4,10000.0,56565,2,1
2830,1,2,1,5,42,0,5,20000.0,46380,3,0
17577,1,0,1,3,47,1,3,17000.0,60809,2,0
33851,1,0,1,10,40,0,10,20000.0,53438,4,0
314,1,2,1,15,27,0,15,18000.0,48354,1,1
8913,0,0,2,1,20,1,1,10000.0,54624,1,0
29700,1,0,1,20,57,0,20,10000.0,52815,4,0
29193,1,5,1,2,27,0,2,20000.0,55064,1,0
38493,0,1,1,3,23,1,3,14000.0,54523,2,0
41820,1,2,1,26,52,1,26,35000.0,50760,1,0
14348,1,2,1,2,30,1,2,12536.0,47910,2,0
2191,1,1,1,7,30,1,7,19000.0,51748,1,1
625,1,2,1,2,33,3,2,25000.0,55064,2,1
35816,1,0,1,4,22,3,4,10000.0,40480,4,1
33585,1,0,2,1,34,1,1,10000.0,48870,4,0
2362,0,2,2,5,23,1,5,12000.0,59102,2,0
1487,1,0,2,5,24,0,5,13000.0,50755,2,1
7024,1,0,1,4,29,0,4,18000.0,52875,1,0
41271,1,0,2,2,22,0,2,30000.0,63665,4,0
40866,1,0,1,2,34,1,2,17000.0,52815,2,0
38331,0,0,2,3,22,1,3,12000.0,64674,1,0
42596,1,0,2,2,24,3,2,8000.0,47910,1,0
5001,1,1,2,4,24,1,4,18000.0,47578,2,1
4949,0,3,2,1,27,1,1,15456.0,50729,2,0
216,1,0,1,8,37,1,0,35937.0,42876,0,0
31546,1,3,2,1,23,0,2,9000.0,60869,2,0
23496,1,0,1,8,37,1,8,15000.0,55133,1,0
6428,1,1,1,1,28,0,1,9000.0,50631,2,0
18726,1,2,1,5,34,1,5,10000.0,50515,4,0
8403,0,0,1,1,34,1,1,10000.0,59102,2,0
3242,1,0,1,5,29,1,5,12000.0,50729,2,0
25886,1,2,1,23,43,0,46,27000.0,54624,0,0
28008,1,1,1,5,34,0,7,10000.0,30109,1,0
36558,1,0,1,2,27,0,2,10500.0,52926,2,0
39835,0,0,1,2,41,3,2,6975.0,53939,2,0
15670,1,0,1,4,23,0,4,12000.0,51332,2,0
31561,1,0,1,2,31,1,2,30000.0,51794,2,0
9694,1,0,1,6,32,3,12,15000.0,42334,2,0
31191,0,0,1,1,31,0,1,9000.0,47836,2,0
22363,1,0,1,4,36,0,4,140000.0,53294,0,0
9564,1,0,1,10,22,3,20,15000.0,53395,3,0
7388,0,0,1,4,27,1,4,12000.0,48354,1,0
20341,0,2,1,4,30,0,4,10000.0,51794,2,0
37581,1,0,1,2,44,3,2,12000.0,38123,1,0
25293,1,2,1,2,33,3,2,17500.0,40657,2,0
25337,1,0,1,2,32,3,4,10000.0,51332,4,1
24324,1,2,1,2,26,0,2,12200.0,36647,2,0
42283,1,0,1,4,31,1,4,12000.0,39458,2,1
17707,1,0,1,6,32,1,6,25000.0,53054,2,0
26244,1,0,2,1,21,0,1,10000.0,57939,2,0
10880,1,0,2,1,23,0,1,11000.0,46380,2,0
32669,1,0,1,5,29,1,6,10000.0,47910,4,0
16284,1,2,1,7,43,1,7,20000.0,52815,2,0
32425,1,1,1,10,47,0,20,15000.0,53083,2,0
12618,1,0,1,28,58,3,28,45000.0,53083,1,0
27836,1,0,1,49,51,1,49,24306.0,37453,0,0
16887,1,0,2,1,20,0,2,12000.0,50571,1,0
33570,1,2,1,3,34,1,3,28000.0,43032,3,0
5883,1,1,1,5,30,3,5,12000.0,58715,2,1
29129,1,0,1,5,47,0,5,15000.0,51332,0,0
32549,1,2,1,3,24,1,6,15000.0,63665,2,0
39815,1,0,1,2,32,1,2,15000.0,37946,2,0
13802,1,0,1,3,36,0,3,26000.0,55064,0,0
18119,1,0,2,5,28,1,5,12000.0,55064,2,0
29776,0,0,2,3,24,3,3,12000.0,51794,4,0
1000,1,0,2,7,22,0,7,10000.0,47807,2,0
24237,0,2,1,9,34,1,0,18000.0,55133,1,0
42492,0,0,1,2,34,1,6,15500.0,58338,1,0
2885,1,1,1,1,30,1,1,10000.0,48635,4,0
11141,1,0,1,8,40,3,0,12000.0,54486,2,0
7419,1,0,2,2,23,0,2,12000.0,52565,2,0
465,1,2,1,8,31,3,0,20000.0,58972,0,1
4850,1,0,1,6,42,1,10,28000.0,45344,0,0
37017,1,0,1,3,52,0,3,15000.0,41887,4,1
26575,1,3,2,5,24,0,5,15000.0,43032,3,1
13938,1,2,1,4,36,1,4,18500.0,47049,2,0
354,1,0,1,10,30,3,10,12000.0,59102,1,0
16961,1,0,1,16,39,1,16,12000.0,53939,2,0
37331,1,3,1,15,34,1,15,20000.0,55977,4,1
18391,1,0,1,1,31,0,1,15000.0,52634,2,0
3855,1,0,1,2,45,1,12,15000.0,44035,4,0
26108,1,4,1,8,22,0,0,11000.0,42058,2,1
7779,0,0,1,1,36,0,1,14000.0,50571,4,0
29060,1,2,1,3,26,0,3,1000.0,47049,4,0
21166,1,2,1,25,49,1,25,20000.0,55064,3,0
24115,1,2,1,2,33,0,2,9000.0,53163,4,1
29440,1,0,2,2,24,1,4,15000.0,66228,1,0
34340,1,0,1,2,30,1,2,14000.0,39514,2,0
4859,1,2,1,4,30,1,4,18000.0,52815,2,0
22776,1,0,1,5,44,0,10,15000.0,47578,1,0
12890,1,0,2,2,26,0,2,12000.0,52378,4,0
17599,1,0,2,3,21,0,3,12000.0,58972,2,0
6747,1,0,2,2,21,0,2,8000.0,47578,2,0
41798,0,2,1,0,45,1,0,20000.0,49540,1,0
14487,1,2,1,2,26,1,2,18760.0,53939,2,0
16437,0,0,2,4,28,1,4,10000.0,66338,4,1
36137,1,0,1,5,43,0,5,12000.0,43032,2,0
32690,1,2,1,10,47,1,20,10000.0,47578,4,0
1647,1,0,1,6,31,1,6,15000.0,48983,2,0
19020,0,2,1,3,35,1,3,14000.0,52875,2,0
12883,1,0,1,30,57,1,30,22000.0,42539,2,0
6708,1,0,1,5,41,1,5,13500.0,53939,2,0
38592,1,0,2,1,28,1,1,13500.0,47006,4,0
3021,0,0,1,5,59,0,5,17104.0,53939,0,0
16315,1,0,2,5,22,1,5,20000.0,59254,2,0
8658,1,0,1,2,46,0,2,15000.0,54624,0,0
39646,1,2,1,30,54,1,30,15000.0,55568,4,0
40603,1,0,1,2,53,1,2,15000.0,55064,2,0
41940,1,3,1,18,43,0,18,10000.0,48635,1,0
15097,1,2,1,6,27,0,6,14500.0,51449,0,0
20088,1,3,1,3,26,0,3,10000.0,51794,1,0
33632,1,0,1,8,39,0,8,54000.0,53939,4,0
22610,0,0,1,4,41,0,4,14500.0,48012,2,0
42368,1,0,1,3,24,1,3,15000.0,52875,1,1
9685,1,0,1,3,25,0,3,12000.0,58715,2,0
41163,1,0,1,3,27,1,3,12000.0,55133,4,0
13976,1,2,1,7,32,1,7,19500.0,51794,2,0
2791,1,0,2,2,22,1,2,10000.0,52875,4,0
19986,1,0,2,6,24,0,12,11000.0,47910,2,0
7330,1,0,1,11,42,1,11,19000.0,43032,1,0
7,1,0,2,2,19,3,2,15000.0,61288,2,0
13484,1,0,1,3,31,0,3,11000.0,52634,2,0
10286,1,1,1,5,33,0,10,21000.0,64967,4,0
15686,1,0,2,2,22,1,2,10000.0,50729,2,0
17362,1,0,1,10,42,1,10,15000.0,61896,1,1
1183,0,2,1,8,37,0,0,9000.0,53083,2,1
40095,0,3,2,3,26,1,3,15000.0,51332,2,0
30579,1,4,1,16,40,1,16,15000.0,50515,3,0
32622,0,0,1,2,36,1,4,10000.0,43940,2,0
17114,1,0,1,5,34,1,5,16000.0,54624,2,0
20769,1,0,1,5,41,0,5,11000.0,51332,4,0
2893,1,2,1,8,38,1,0,15000.0,41008,4,0
24452,1,0,1,3,37,1,6,12000.0,55133,2,0
35751,1,0,1,23,45,3,23,13000.0,43630,2,0
17798,1,0,2,2,22,1,2,12500.0,60733,2,0
8313,1,0,1,15,49,0,15,20000.0,53939,1,0
23617,1,2,1,15,35,0,15,16000.0,48143,0,0
8568,1,0,2,3,22,1,6,12000.0,60073,2,0
10499,1,2,1,10,45,1,10,20000.0,68539,0,0
17574,1,0,1,20,43,0,20,15000.0,50515,2,0
21688,1,0,2,6,26,1,6,15000.0,55523,2,0
20355,1,0,1,2,36,0,2,11000.0,43032,1,0
7686,1,0,1,9,29,0,9,12000.0,38183,4,0
10424,1,3,1,5,30,1,5,28000.0,43630,0,0
35916,1,0,1,13,30,1,13,30000.0,55064,2,0
1670,1,0,2,2,20,0,2,10000.0,44606,2,0
22395,1,0,1,10,31,0,10,10000.0,59750,2,0
322,1,2,1,15,36,0,15,18000.0,47910,1,0
2000,1,0,2,1,25,1,3,9500.0,43630,3,0
24494,1,2,1,15,37,1,15,24000.0,50729,1,0
6809,1,0,1,8,34,0,8,10000.0,48012,1,0
30762,1,1,1,9,40,3,9,20000.0,55320,0,0
21789,1,2,1,3,27,0,3,13000.0,41344,2,0
17967,1,0,2,3,25,1,3,15300.0,44978,2,0
35124,1,2,1,5,46,0,5,10000.0,45107,2,0
20468,1,0,1,5,25,2,10,10500.0,53459,4,0
34192,1,0,1,6,59,1,6,40000.0,51332,0,0
36354,1,0,2,4,22,1,4,15000.0,53939,1,0
1414,1,0,1,6,28,0,6,12000.0,60733,1,0
23441,1,0,1,2,32,1,2,13000.0,53939,4,0
37236,0,3,1,3,36,1,5,12000.0,42709,4,0
6573,0,0,2,2,27,0,2,10000.0,47049,2,0
38987,1,1,1,5,44,1,5,12000.0,39418,3,1
17190,1,0,1,5,23,1,5,20000.0,57903,2,1
39237,1,3,1,4,43,1,4,15000.0,51332,2,0
12616,0,0,1,5,31,3,5,10000.0,38123,1,0
36461,1,0,1,3,37,0,3,12000.0,46380,2,0
8602,1,3,1,2,27,1,5,15000.0,60073,4,0
11770,1,5,1,10,42,0,10,20000.0,39641,2,0
34365,1,0,1,3,26,1,3,12000.0,47910,2,1
15967,1,2,2,1,20,0,1,15290.0,54624,0,0
40504,1,0,1,8,45,0,0,25000.0,54470,4,0
3030,1,0,1,2,40,0,2,11000.0,51794,4,0
4207,0,2,1,13,53,1,13,27000.0,59102,0,0
10035,1,0,1,1,35,1,1,15000.0,57843,2,0
24526,1,0,2,2,22,3,2,9000.0,50515,2,0
16293,1,0,1,2,28,1,2,15000.0,53939,2,0
18917,1,0,1,2,27,3,2,12000.0,53958,2,0
34431,1,2,1,10,33,1,10,15000.0,55977,2,1
31513,0,0,1,13,40,2,13,13000.0,55064,0,0
5500,0,1,2,1,25,1,1,20000.0,55133,2,0
17298,1,0,2,2,27,1,2,12000.0,43032,2,0
11997,1,2,1,5,44,0,5,25000.0,50729,3,0
42457,1,2,1,5,32,0,5,12000.0,52468,0,0
30265,1,0,2,8,21,0,0,8500.0,50572,4,0
4128,1,0,1,2,28,3,4,9000.0,43032,1,1
25747,0,0,1,6,42,0,6,5500.0,51794,0,0
18494,0,0,1,5,31,1,5,50000.0,51449,2,0
16929,0,0,1,13,37,1,13,29000.0,54486,0,0
18365,1,2,1,3,30,0,3,14000.0,52660,2,0
29292,1,2,1,13,43,1,13,19000.0,53939,0,1
38074,1,2,1,10,40,3,10,12000.0,66228,2,0
