No,SEX,NO_OF_DEPENDENT,MARITAL_STATUS,YRS_IN_PRESENT_JOB,AGE,EDUCATION,YEARS_OF_EXPERIENCE,TOTAL_MONTHLY_INCOME,LOAN_AMOUNT,COMPANY_TYPE,LABEL
13609,1,2,1,3,35,1,3,20000.0,60733,2,1
38976,1,2,2,2,24,1,2,10000.0,51794,2,0
21525,1,5,1,1,29,3,1,10000.0,51794,1,0
42634,1,2,1,31,58,1,31,15000.0,55133,0,0
6384,1,0,1,6,28,1,6,18882.0,48689,0,1
5641,1,2,1,2,28,1,2,12500.0,48080,2,0
19165,1,0,2,5,24,1,5,15000.0,50839,1,0
37036,0,0,1,3,41,0,3,15000.0,46380,4,0
34312,1,0,1,4,23,0,4,12000.0,42745,2,0
7020,1,0,1,5,47,0,5,18000.0,51332,1,0
13533,1,0,1,5,36,1,5,30000.0,52815,0,0
16221,1,0,1,2,23,3,2,11000.0,43813,2,0
31878,0,2,3,2,33,1,2,14500.0,60733,2,0
459,1,0,1,5,33,3,5,18000.0,49232,3,0
10560,0,0,2,3,28,1,3,17000.0,55064,4,0
27245,1,0,2,9,29,0,9,10000.0,50515,1,0
32032,0,2,1,15,45,0,15,9000.0,44629,2,0
3082,1,3,1,4,33,0,8,8000.0,49205,3,0
21820,1,3,1,4,31,0,4,25000.0,50886,1,0
38521,1,1,2,5,30,1,5,15000.0,58837,2,0
2153,0,0,1,10,42,1,10,25000.0,47836,0,0
28234,1,0,1,1,26,0,1,11000.0,53054,0,0
6797,1,0,1,1,21,0,1,11000.0,55494,2,1
23263,1,0,1,6,26,1,6,12000.0,53939,2,0
3508,1,0,2,5,27,3,5,16000.0,47049,0,0
23900,1,1,1,5,27,3,5,10000.0,50321,2,1
41691,1,0,2,4,36,3,4,15000.0,30958,2,0
41541,1,0,1,8,47,1,0,15000.0,52815,2,0
21096,1,0,1,3,28,0,3,9000.0,49741,2,0
41719,1,4,1,5,40,1,5,15000.0,64674,2,0
5327,1,0,1,5,28,1,5,21000.0,60073,2,0
41905,1,0,1,8,58,3,8,12000.0,53083,1,0
13810,0,0,3,15,41,3,15,7500.0,47006,0,0
32936,1,2,1,1,35,1,6,9000.0,43630,4,0
3353,1,4,1,20,52,0,20,15000.0,43032,0,0
32527,0,2,1,3,41,1,4,7000.0,47214,4,0
7492,0,0,2,2,21,1,2,12000.0,50729,1,0
41737,1,3,1,15,23,1,15,18000.0,50859,1,1
1149,1,0,1,6,36,3,6,17000.0,55133,2,1
20481,1,3,1,30,53,0,30,15000.0,43032,4,0
21385,1,2,1,5,37,1,5,15000.0,49205,2,0
18434,1,0,2,2,21,1,2,12000.0,55933,4,0
34248,1,0,2,4,21,0,5,12000.0,52815,4,1
1385,1,1,1,3,24,1,3,16000.0,50571,2,0
9547,0,0,1,10,41,0,10,15000.0,71448,0,1
5963,1,1,1,10,32,0,10,18000.0,59102,4,0
24719,1,2,1,2,38,3,2,29000.0,52815,2,0
12474,1,0,1,18,43,3,18,9900.0,42876,3,0
24411,1,0,2,3,28,1,3,12000.0,47910,2,0
31708,1,2,1,2,30,1,2,12500.0,40899,2,0
8929,1,0,2,2,22,0,2,15000.0,61896,4,1
19351,1,2,1,8,36,0,2,18000.0,43630,4,0
28224,1,4,1,2,44,1,2,16000.0,48012,4,0
31441,1,1,1,2,37,3,2,13000.0,51794,4,0
9008,1,0,1,14,36,1,14,19522.0,50980,2,0
29898,1,0,1,14,50,3,14,18000.0,52565,0,1
26931,1,0,1,19,41,1,19,20000.0,47910,0,1
27831,1,0,1,10,36,1,10,30000.0,39641,0,0
20945,1,2,1,8,29,0,0,10000.0,35373,2,0
39893,1,2,1,8,29,0,8,15000.0,53958,2,1
11797,1,2,1,29,47,0,29,30000.0,44929,0,0
5070,0,3,1,9,35,0,9,13000.0,43032,2,1
28645,1,0,1,10,56,0,10,10000.0,43032,0,0
8324,1,3,1,10,32,1,11,9000.0,52565,4,0
8224,0,3,1,4,39,1,4,11000.0,52875,1,0
35248,1,3,1,3,46,0,3,7000.0,39641,2,0
28674,1,0,1,5,27,0,10,10000.0,45107,2,0
28514,1,0,1,13,40,1,13,24000.0,54624,0,1
39669,1,0,1,2,33,1,12,10500.0,49631,1,0
31946,1,0,1,4,33,0,4,15000.0,50128,4,0
27191,1,0,2,2,26,1,2,15000.0,55133,2,0
6777,1,0,1,10,35,0,10,10000.0,52815,4,0
41221,0,0,1,3,35,1,3,25000.0,52815,4,0
10370,1,3,1,8,37,0,0,22500.0,53939,0,0
26185,1,0,1,2,27,0,2,40000.0,45947,2,1
10512,0,0,2,1,22,1,1,10000.0,57136,1,0
7651,0,0,2,5,23,1,5,15000.0,49575,1,0
29258,0,0,1,5,37,0,5,10000.0,49804,2,0
39861,1,0,1,9,42,3,9,8500.0,40322,2,0
3511,1,3,1,18,45,0,18,14000.0,49287,2,0
5489,0,2,2,1,26,1,1,12500.0,53939,2,0
24138,1,2,1,2,21,0,2,12000.0,44978,4,1
20630,1,2,2,7,33,1,7,15000.0,50571,1,0
26812,1,2,1,11,25,3,11,12000.0,51820,2,1
12518,1,0,1,5,30,3,5,15000.0,43970,1,0
38159,1,2,1,3,28,1,3,12000.0,53772,1,1
31633,1,0,1,10,32,3,10,25000.0,59102,2,0
3119,1,0,2,3,21,1,3,11000.0,43475,2,0
21396,1,0,1,3,32,0,3,15000.0,43032,0,0
13431,1,0,1,12,50,0,12,22000.0,43630,0,0
22471,1,0,2,2,23,3,2,10000.0,39458,4,0
34702,1,1,2,1,21,1,1,8000.0,53591,1,0
8237,1,0,2,2,22,0,2,14000.0,45107,1,0
1143,1,0,1,5,29,0,5,20000.0,47578,0,0
36919,1,0,1,15,49,0,15,15000.0,50729,0,1
2320,1,3,1,5,33,0,5,12500.0,36647,2,0
25614,1,2,1,11,29,0,11,10000.0,46787,1,0
32867,1,0,2,2,22,1,2,8000.0,55133,2,1
3122,1,0,2,3,24,0,3,10000.0,52626,2,0
42152,1,2,1,12,42,1,12,12000.0,52963,0,0
20016,1,2,1,12,38,1,12,14580.0,50571,0,0
6425,1,2,1,6,49,0,6,14000.0,51748,2,0
20580,1,2,1,30,55,1,30,10000.0,48873,0,0
6576,1,0,2,1,22,0,1,10000.0,55064,2,0
38825,0,0,1,5,27,0,5,15000.0,61109,2,1
4306,1,3,1,35,58,1,35,24000.0,51449,0,1
4865,1,2,2,4,21,1,4,15000.0,53939,2,1
34719,1,3,1,10,43,1,10,12000.0,34829,1,0
14208,1,4,2,1,22,3,1,8000.0,54486,4,0
42179,1,1,1,3,34,1,3,15000.0,50515,2,0
913,1,0,2,2,26,3,2,13000.0,53054,2,0
10279,1,0,2,2,20,1,2,10000.0,59385,4,0
16316,0,0,1,5,27,2,5,20000.0,54624,2,1
895,1,0,2,2,20,3,2,10000.0,48430,2,0
9128,1,0,1,3,33,1,3,13000.0,62854,2,0
28713,1,2,1,5,44,1,5,15000.0,48354,2,0
673,1,2,1,2,40,3,4,82000.0,50729,2,0
10090,1,0,1,13,55,3,13,15000.0,54624,2,0
1830,1,0,2,1,29,1,1,20000.0,66338,4,0
39866,1,2,1,1,31,0,1,12000.0,60809,2,0
11987,1,3,1,6,35,1,6,15000.0,52131,2,0
7241,1,1,1,2,32,0,2,8000.0,40899,2,0
37513,1,1,2,5,28,0,10,22000.0,66338,2,0
24490,1,2,1,8,27,1,0,10000.0,48354,1,0
33507,1,1,1,3,32,3,7,10000.0,51794,1,0
6594,1,3,1,4,29,0,8,14000.0,47514,2,0
29043,0,0,1,20,58,0,20,25000.0,43630,0,1
30547,1,0,1,30,53,3,30,30000.0,47910,0,0
19136,1,1,1,2,24,1,7,12000.0,58297,4,0
14792,1,0,2,2,20,0,2,12000.0,51794,2,1
21992,0,0,2,1,22,3,1,10000.0,53083,2,0
26603,1,0,1,5,31,2,5,15000.0,39641,2,0
16200,1,0,2,5,23,0,5,8000.0,47514,0,0
436,1,2,1,5,32,3,5,12000.0,47049,2,0
26313,1,0,1,3,32,0,3,10500.0,36994,2,0
14747,0,2,1,2,37,2,2,31000.0,55064,2,0
38866,1,0,2,5,29,1,5,15000.0,47049,1,0
3921,0,1,1,7,31,1,7,30000.0,51794,2,0
41597,1,0,2,2,23,1,2,15000.0,57843,2,0
24499,1,0,1,2,26,1,8,10500.0,55064,2,1
1274,1,0,1,2,28,3,2,17000.0,57136,2,0
42143,1,2,1,10,44,1,10,20000.0,52815,2,0
35152,1,3,2,2,32,1,2,12000.0,46497,2,1
24750,0,1,1,3,27,3,3,12000.0,50729,2,0
18352,1,0,1,5,36,1,5,16000.0,50755,2,0
16366,1,0,1,3,30,1,8,15000.0,60809,2,0
30862,1,2,1,2,41,1,2,10500.0,50729,2,0
17034,1,0,2,3,25,1,3,13500.0,55293,1,1
14337,1,2,1,2,44,3,2,8000.0,39458,4,0
29985,1,2,1,2,32,3,2,15000.0,43340,3,0
104,1,0,2,2,23,0,2,12000.0,57843,4,1
40341,1,0,2,2,28,1,2,24000.0,61109,0,0
25388,1,4,1,10,49,0,15,20000.0,55064,2,0
4825,0,2,1,1,27,1,2,10600.0,43032,2,1
34655,1,1,1,3,29,2,6,2000.0,53083,1,0
24321,1,0,2,5,23,1,5,12000.0,48354,1,0
40497,1,3,1,3,32,0,8,10000.0,52829,4,0
4972,1,0,1,8,37,3,0,15000.0,43032,0,0
21397,1,2,1,6,53,0,6,14000.0,57843,0,0
31260,1,2,1,16,36,0,16,18100.0,30958,2,0
18044,1,0,1,15,49,0,15,46000.0,55133,0,0
20713,1,1,1,2,33,1,2,18000.0,43032,1,0
19580,1,0,1,5,30,0,5,10000.0,46380,4,0
16503,1,0,1,7,32,1,7,16000.0,53881,2,0
19315,1,1,1,3,49,1,3,10000.0,59102,2,0
34050,1,0,1,1,24,3,1,12000.0,48430,2,0
22569,1,0,1,3,27,0,3,13000.0,33003,3,0
39672,1,3,1,12,34,1,12,11000.0,60420,4,0
24375,0,2,2,3,22,1,3,12000.0,43010,3,1
28048,1,0,2,1,27,1,1,15000.0,53939,2,0
27505,0,1,3,7,43,3,7,17425.0,43010,4,0
14165,1,4,1,5,27,3,5,10000.0,48870,4,0
15750,1,0,1,5,24,1,5,18000.0,47214,4,0
12335,0,1,1,3,30,3,3,8000.0,48430,1,0
27148,1,0,1,3,32,1,3,22000.0,39458,0,1
22229,1,1,1,2,47,3,2,12000.0,44403,3,0
24669,1,0,1,10,48,1,10,22000.0,44978,0,0
42378,1,0,1,5,24,1,5,14500.0,58395,1,0
1494,1,0,1,10,31,0,10,20000.0,43940,1,0
23805,1,0,1,4,31,3,4,10000.0,64967,2,0
40406,1,0,1,2,31,1,2,15000.0,61530,2,0
28540,1,0,1,7,45,0,7,16000.0,44234,4,0
9998,1,0,2,2,23,1,2,15000.0,52815,2,0
4272,1,6,2,3,28,1,3,12000.0,55133,2,0
32389,1,1,2,2,24,1,5,15000.0,55715,2,0
29544,1,2,1,35,58,3,35,55000.0,47578,0,0
8970,1,0,1,8,39,1,0,11500.0,59102,2,0
9427,1,0,1,6,35,1,6,12000.0,47578,2,0
14085,1,2,1,5,28,3,5,12500.0,49534,1,0
23848,1,3,1,8,34,0,0,12000.0,50834,3,0
3222,1,0,1,3,25,0,9,10500.0,37496,2,0
12802,0,0,2,6,24,1,6,10000.0,46613,0,0
17680,1,0,1,5,38,1,5,16000.0,50729,2,0
15559,0,0,2,2,23,0,2,8000.0,44858,3,0
27702,0,0,1,11,39,1,11,18000.0,43032,0,0
10020,1,1,2,2,29,1,2,20000.0,60809,4,1
32751,1,0,1,8,40,0,0,16000.0,41279,0,1
3611,1,3,1,15,32,0,15,21193.0,34031,0,0
30156,1,0,1,5,48,0,5,15000.0,43630,2,0
7174,1,0,2,8,28,0,0,14000.0,37946,0,1
5330,0,2,1,24,49,1,24,22000.0,51794,2,0
22008,1,0,1,1,26,0,1,12500.0,55133,2,0
25254,1,0,1,1,22,0,1,18000.0,51449,3,1
462,1,1,1,2,24,3,2,12000.0,55133,3,1
15632,1,0,1,3,35,0,3,10000.0,43032,2,0
23229,1,0,1,30,51,1,30,28000.0,53939,0,0
13557,1,0,2,2,20,0,2,9500.0,45891,1,1
15711,1,4,2,3,26,1,3,20000.0,47865,1,1
8246,1,2,1,3,30,0,3,15000.0,40480,1,0
22232,1,1,2,4,24,0,4,1000.0,44403,2,0
5427,1,0,2,1,20,1,1,15000.0,51332,2,0
21201,1,0,2,1,21,0,2,9000.0,61605,2,0
33185,0,0,3,4,31,1,4,21000.0,51794,0,0
2318,1,0,1,10,43,0,10,8000.0,48012,2,0
353,1,2,1,15,25,0,15,18000.0,55133,1,0
4984,1,2,1,11,37,1,11,28592.0,60809,0,0
33149,1,2,1,10,35,1,10,206973.0,51332,2,0
30170,0,0,1,3,29,1,3,10000.0,41840,4,0
30259,1,0,1,5,35,0,5,12200.0,50729,4,0
37424,1,3,1,3,44,3,3,12000.0,55064,2,0
37375,1,2,1,2,30,0,2,10400.0,50571,2,0
996,1,0,1,15,51,1,15,41300.0,47578,0,0
25386,1,4,1,10,39,1,12,28000.0,54624,2,0
20780,0,0,2,5,34,0,5,9000.0,50729,2,0
34577,1,4,1,10,36,3,10,10000.0,44477,1,0
16054,1,2,1,20,38,0,21,15000.0,50571,4,0
27695,1,0,1,23,43,0,23,31000.0,51794,0,0
31224,1,2,1,2,34,0,2,11000.0,51794,2,1
36781,0,0,1,10,34,3,10,8500.0,51794,2,0
40709,1,0,1,3,32,1,3,15000.0,55303,4,0
4502,1,2,1,30,54,1,60,8000.0,53939,2,0
34276,1,0,2,5,22,0,5,10000.0,52875,4,0
40446,1,0,1,2,30,1,2,10000.0,55133,2,0
38306,1,0,1,7,50,0,7,20000.0,50571,1,0
22285,0,0,1,4,37,1,4,12000.0,51332,2,0
1100,1,0,2,3,27,0,3,18000.0,53958,1,0
2012,1,0,2,5,36,0,5,8500.0,46380,3,0
30228,1,0,2,3,47,3,3,10000.0,52875,4,0
19102,1,1,1,5,30,1,5,15000.0,56937,4,0
17324,1,0,1,3,36,1,3,17000.0,53562,2,1
19451,1,2,1,5,27,1,5,15000.0,55303,4,1
14759,1,0,1,5,28,1,5,26000.0,60733,2,0
3362,1,4,1,2,24,0,2,15000.0,50778,0,0
19593,1,0,1,8,32,0,8,12000.0,46497,4,0
36665,1,0,2,1,27,1,2,35000.0,48728,4,0
28816,1,2,1,10,42,3,10,15500.0,51332,2,0
24350,1,3,1,4,43,0,4,22000.0,55133,0,1
39209,1,2,1,1,37,0,4,7000.0,55293,4,0
12506,1,0,1,13,41,3,13,20000.0,49732,1,0
14703,1,0,2,3,21,0,3,12000.0,54624,2,0
34558,1,0,1,10,29,1,10,20322.0,52963,1,0
21794,0,3,1,6,34,2,6,35000.0,42709,2,0
21047,1,1,1,2,27,0,2,12000.0,52875,1,0
17403,1,0,2,1,23,0,1,12000.0,59102,2,1
5763,1,2,1,2,23,3,2,12000.0,52850,2,1
37953,1,2,1,5,40,3,5,13000.0,58715,1,0
38013,1,0,1,25,54,3,25,10000.0,47214,0,1
40918,1,0,1,3,35,3,3,12000.0,59710,4,0
18397,1,0,1,5,45,0,5,10000.0,57136,1,0
12240,1,2,1,33,44,1,33,14000.0,52660,2,0
37653,1,0,1,5,29,3,5,18000.0,53083,1,1
41583,1,0,1,1,27,3,1,10000.0,54624,2,0
1281,1,0,1,15,33,1,15,17000.0,54993,2,0
1163,1,0,1,4,37,3,4,18000.0,51794,4,0
24640,1,2,1,20,42,1,20,16187.0,44768,0,0
5633,1,1,1,1,48,1,9,21500.0,52660,2,0
35921,1,0,1,4,55,1,4,10000.0,51332,2,1
14446,1,3,1,10,53,3,10,30000.0,48354,0,0
9253,1,0,1,2,30,1,2,12000.0,64674,2,0
9858,1,0,1,5,53,1,5,15000.0,54624,2,0
23677,1,0,2,1,22,1,1,12500.0,51794,3,0
6788,1,0,1,3,33,0,3,12000.0,50517,2,1
16391,1,0,1,3,46,1,3,20000.0,58494,3,1
2954,1,0,2,1,24,1,1,10000.0,53939,2,0
32337,1,0,2,3,22,1,4,15000.0,47164,1,0
28450,1,1,2,3,21,0,3,9000.0,43630,2,1
16730,1,0,1,5,29,1,5,14000.0,59102,1,0
26164,1,0,2,5,25,0,5,10000.0,55977,4,1
15516,1,4,1,24,54,1,24,48000.0,58297,1,0
3701,1,0,1,2,28,1,2,10000.0,45107,2,0
6,1,0,2,2,20,3,2,10424.0,64674,3,1
3272,1,0,1,5,29,1,5,17000.0,50729,2,1
8215,1,0,2,3,25,1,3,14500.0,55133,1,0
35486,0,2,1,10,57,0,10,12500.0,54486,0,0
10413,1,1,2,1,20,1,1,9000.0,51332,2,0
21005,1,2,1,6,32,0,6,15000.0,55133,4,0
17816,1,0,1,2,27,1,2,16000.0,60809,1,0
25602,1,0,1,20,43,0,20,15000.0,46421,1,1
41201,1,0,1,2,23,1,2,15000.0,55064,2,0
38122,0,0,1,10,44,3,10,24000.0,59102,0,1
10031,1,2,1,8,40,0,0,15000.0,54624,2,1
32498,1,0,1,6,25,1,7,15000.0,61017,2,0
6636,0,0,1,2,29,1,2,11000.0,52815,2,0
13925,1,0,1,11,36,0,11,13000.0,51667,4,0
12732,1,2,1,3,41,1,3,13000.0,33003,2,0
41301,1,0,1,3,29,1,3,15000.0,52815,4,0
4745,1,0,2,1,24,1,1,9000.0,43032,2,0
38128,1,0,1,2,38,3,8,15000.0,44301,2,0
12609,1,0,1,2,24,3,2,12000.0,39027,1,0
40731,1,4,1,3,24,1,3,10000.0,59065,4,0
33631,1,2,1,5,57,3,5,15000.0,51748,1,0
